"AMD","AMZN","NKE","VALE","NOK","AAL","CCL","TGT","DQ","BAC","IWN","AMD*","AMZN*","NKE*","VALE*","NOK*","AAL*","CCL*","TGT*","DQ*","BAC*"
27.85,1843.060059,84.115646,10.499949,5.817262,34.23106,51.284229,75.989677,7.016,28.329721,117.847603,775.6225,3396870.38108108,7075.44190199732,110.248929002601,33.840537176644,1171.7654687236,2630.07214412444,5774.43101056433,49.224256,802.573091937841
27.33,1844.869995,84.691116,10.531672,5.52346,33.303493,51.446976,77.16629,6.948,28.01985,117.240189,746.9289,3403545.2984513,7172.58512932545,110.916115115584,30.5086103716,1109.12264600105,2646.79133954458,5954.6363123641,48.274704,785.1119940225
27.93,1863.040039,85.637215,10.761654,5.562634,33.579792,52.461742,77.15686,7.126,28.057405,117.809639,780.0849,3470918.18691712,7333.73259295622,115.813196815716,30.942897017956,1127.60243076326,2752.23437367456,5953.1810450596,50.779876,787.217975334025
27.49,1864.819946,86.544304,10.52374,5.699741,33.925163,52.212837,77.825172,7.494,28.198259,117.37307,755.7001,3477553.43099944,7489.91655484442,110.7491035876,32.487047467081,1150.91668457657,2726.18034758857,6056.75739682958,56.160036,795.141810631081
27.68,1861.689941,87.002731,10.563394,5.689948,33.915295,51.341671,78.371124,7.46,28.198259,116.88903,766.1824,3465889.43642058,7569.47520145836,111.585292799236,32.375508242704,1150.24723493703,2635.96718107224,6142.03307702337,55.6516,795.141810631081
28.18,1887.310059,85.208046,10.357202,5.689948,33.037067,50.805565,77.203941,7.526,28.217035,115.958931,794.1124,3561939.25880258,7260.41110313812,107.271633268804,32.375508242704,1091.44779596249,2581.20543496923,5960.44850593148,56.640676,796.201064191225
27.969999,1923.77002,85.276321,10.444436,5.680154,33.520588,51.456551,77.335709,7.578,28.235817,117.686272,782.320844060001,3700891.0898508,7272.05092329504,109.086243358096,32.264149463716,1123.62981986574,2647.7766408156,5980.81188653268,57.426084,797.261361657489
28.459999,1901.75,86.212669,9.960677,5.670361,33.540321,51.437401,78.013428,7.59,28.188871,117.989967,809.971543080001,3616653.0625,7432.62429610356,99.215086298329,32.152993870321,1124.95313278304,2645.8062216348,6086.09494831118,57.6081,794.612448254641
27.66,1902.25,85.403122,10.055842,5.190486,32.967991,51.533134,76.940361,7.492,28.245211,116.727699,765.0756,3618555.0625,7293.69324734688,101.119958328964,26.941144916196,1086.88843057608,2655.66389986196,5919.81915081032,56.130064,797.791944434521
27.879999,1950.630005,86.134644,10.166869,5.249247,32.622627,52.097958,72.591644,7.476,28.498739,117.743202,777.294344240001,3804957.4164063,7419.17689700674,103.365225263161,27.554594067009,1064.23579238113,2714.19722776976,5269.54677862274,55.890576,812.178124590121
27.690001,1938.430054,86.085884,10.135147,5.210073,33.323235,52.107536,73.23172,7.398,28.893122,118.331642,766.736155380001,3757511.07425044,7410.77942406145,102.721204711609,27.144860665329,1110.43799086522,2715.1953079913,5362.8848141584,54.730404,834.812498906884
27.629999,1926.52002,85.666489,10.135147,5.170899,33.72781,52.519188,72.874031,7.41,28.714708,117.999466,763.416844740001,3711479.3874608,7338.74733758712,102.721204711609,26.738196468201,1137.5651673961,2758.26510817934,5310.62439418896,54.9081,824.534455525264
26.809999,1911.52002,83.784019,9.817928,5.112138,33.46138,53.438221,71.226784,7.428,28.41423,117.107323,718.776046380001,3653908.7868608,7019.76183979236,96.391710213184,26.133954931044,1119.6639515044,2855.64346364484,5073.25475898266,55.175184,807.3684664929
28.290001,1900.819946,83.169525,9.802067,5.082759,33.500851,52.011803,71.932747,7.596,28.639591,117.401543,800.324156580001,3613116.46711144,6917.16988872562,96.080517472489,25.834439052081,1122.3070177242,2705.22765131081,5174.32009096601,57.699216,820.226172647281
28.219999,1962.459961,83.588936,10.143078,5.072966,34.329739,52.825531,71.480927,7.652,28.836777,119.603416,796.368343560001,3851249.09852812,6987.1102216121,102.882031314084,25.734984037156,1178.53097980812,2790.53672543196,5109.52292477933,58.553104,831.559707747729
