"AMD.Adjusted","AMZN.Adjusted","NKE.Adjusted","VALE.Adjusted","NOK.Adjusted","AAL.Adjusted","CCL.Adjusted","TGT.Adjusted","DQ.Adjusted","BAC.Adjusted","IWS.Adjusted","IWN.Adjusted"
30.74,1904.280029,81.826324,10.650628,4.921342,31.816223,44.382286,81.556046,8.346,26.632406,83.80822,113.614861
30.370001,1893.630005,82.109955,10.658558,4.960951,32.271446,44.991188,82.258858,8.474,27.378225,84.74958,114.931084
31.200001,1922.189941,83.537964,11.047152,4.980756,32.538647,44.739899,82.572304,8.808,27.77474,85.224998,115.379356
31.24,1934.310059,83.097824,10.539601,5.010462,31.855806,44.971859,82.667259,8.726,27.519842,85.120407,114.549553
31.190001,1939,84.310646,10.603045,5.069874,32.380302,44.633579,83.484062,8.492,27.42543,85.862091,115.303055
31.5,1942.910034,84.917046,10.404783,5.010462,32.123001,45.339134,84.18689,8.708,27.623688,85.900116,115.970695
32.040001,1952.319946,86.540672,10.547531,4.990657,32.449581,44.865543,84.443314,8.212,27.567045,85.40567,114.854782
33.150002,1988.300049,86.110313,10.595114,4.980756,32.024044,44.382286,83.389076,8.1,27.708654,85.415184,114.740334
33.790001,2017.410034,85.523476,10.951987,5.010462,32.598019,43.986015,81.537056,8.198,27.397108,85.491249,114.807083
33.060001,2001.069946,86.354836,10.975778,5.010462,32.687084,44.295303,82.125908,7.722,27.718098,85.415184,114.158501
33.209999,2011,87.166656,10.944057,5.05007,33.429298,44.710899,83.132645,8.532,27.803064,85.938141,115.150459
34.389999,2020.98999,87.518768,11.102665,5.05007,33.261063,45.377796,82.439339,8.62,27.585922,85.681412,114.120361
33.849998,2009.900024,86.658043,11.126456,5.069874,33.864731,44.894539,83.873466,8.416,27.368786,85.529274,114.425575
33.599998,1992.030029,85.582146,11.063013,5.109482,32.914696,44.111664,83.446068,8.556,27.557602,84.787621,113.2715
33,1977.900024,85.523476,11.110596,5.089678,33.389717,43.966686,84.053925,8.552,27.831379,85.167969,113.452705
32.509998,1964.52002,84.652977,11.134387,5.089678,32.736572,43.580082,83.588547,8.83,27.755859,84.816132,113.157051
32.849998,1985.630005,84.085693,11.039222,5.069874,32.558434,43.589745,82.838226,8.534,27.916349,84.74958,112.765999
33.490002,1994.48999,84.799675,10.85682,5.119385,33.379818,44.652912,84.091911,8.71,28.558325,85.538795,113.900993
34.110001,2000.810059,84.799675,10.642698,5.129287,34.230888,45.542103,84.614273,8.788,28.954834,86.337509,115.799034
33.669998,1973.819946,85.366982,10.515811,5.644196,31.341206,45.058846,83.550545,8.54,28.643293,85.709953,114.435112
34.02,1943.050049,85.621284,10.52374,5.664,30.915668,45.687084,82.686264,8.62,29.049242,86.185371,115.703651
33.48,1912.449951,85.699532,10.499949,5.65,30.420858,45.764404,82.84774,8.416,28.813227,85.928635,114.969223
33.869999,1898.530029,85.288727,10.436504,5.47,30.391169,45.7934,82.515297,8.662,29.162535,86.185371,116.333145
30.450001,1866.780029,84.144371,10.301687,5.41,30.193249,45.648418,82.059425,8.39,28.964275,85.453217,115.36982
29.860001,1855.319946,81.298164,9.928955,5.37,29.530205,45.097507,78.469322,8.516,27.840822,84.217094,112.975815
29.440001,1823.23999,79.361549,9.738623,5.4,29.144253,44.420948,77.424576,8.724,27.736977,83.589546,111.888512
27.99,1765.130005,77.239113,9.167629,5.29,28.233805,43.69606,76.731255,7.966,26.509678,81.393066,108.655167
28.860001,1787.829956,79.518051,9.318309,5.35,28.164289,43.55109,78.611778,8.112,26.830662,82.087196,109.380058
29.190001,1793.400024,79.498482,9.231073,5.32,28.432423,43.899029,78.839722,8.258,26.330301,82.343918,109.256065
33.919998,1832.890015,81.180771,9.492779,5.4,28.87932,44.894539,79.59005,8.542,26.7929,83.760681,111.621452
34.189999,1807.579956,80.183144,9.159699,5.41,28.58139,44.45961,78.269882,8.43,26.745695,82.895416,110.152618
32.43,1784.920044,79.860367,8.961438,5.31,27.449255,44.024677,77.908974,8.626,26.094286,81.83046,108.845932
32.110001,1824.339966,81.493774,9.278656,5.33,27.320154,44.401619,80.007927,8.452,26.169809,82.629173,109.752029
30.24,1762.959961,79.253983,8.771106,5.12,25.919884,43.212803,77.775993,7.932,24.942511,80.242538,106.595001
29.67,1776.119995,77.767281,8.699732,5.06,25.234646,42.816536,78.412331,8.268,24.782019,80.34713,106.165794
31.18,1792.569946,78.520393,8.628358,5.17,25.612024,43.425442,79.979439,8.74,25.518396,81.668816,108.559799
31.48,1816.119995,79.351776,8.469748,5.23,25.919884,44.208317,82.230377,8.86,25.744974,82.581635,109.90464
30.719999,1801.380005,78.764915,8.556982,5.15,25.651747,43.831375,81.857117,9.094,25.225731,81.83046,109.008072
31.700001,1823.540039,80.926491,8.612496,5.17,26.237675,44.411285,98.576912,10.6,25.423988,82.381966,109.847404
31.9,1804.660034,81.483978,8.541122,5.07,26.346916,44.059509,101.754349,10.03,25.669449,82.467529,109.771103
29.540001,1749.619995,78.676895,8.295278,5.01,25.244577,42.290871,99.045876,9.734,24.98971,80.356644,106.299332
30.280001,1768.869995,80.447212,8.152529,5,25.016165,42.486301,100.270912,10.108,25.282375,81.003227,107.472488
30.200001,1761.829956,80.23204,8.192181,4.94,24.281271,42.046589,100.203918,10.304,24.98971,80.34713,105.717514
30.780001,1764.25,81.650269,8.271486,4.89,25.155199,42.408134,101.83091,10.29,25.348459,81.050758,107.071892
31.450001,1786.400024,83.508606,8.50147,4.92,26.138367,42.994419,103.295219,10.306,25.801619,82.201294,109.132057
